"Index","School_Name","Sex","Age","Home_Area","Family_Size","Parents_Maritial_Status","Mothers_Education_Level","Fathers_Education_Level","Mothers_Job","Fathers_Job","Reason_Of_School_Chosen","Guardian","Travelling_Time_to_School","Weekly_Study_Time","Amount_of_Fails_in_Class","Extra_Educational_Support","Family_Educational_Support","Extra_Paid_Classes","Participation_in_Extra_Activities","Attendance_in_Nursery_School","Intention_to_Further_Higher_Education","Internet_Access_at_Home","Romantic_Relationship","Quality_of_Family_Relationship","Free_Time_After_School","Goes_Out_with_Friends","Workday_Alcohol_Consumption","Weekend_Alcohol_Consumption","Current_Health_Status","Number_of_Absences","Math_First_Period_Grade","Math_Second_Period_Grade","Math_Final_Grade","combined_grades","combined_alcohol_consumption","studyPercentage","friendPercentage","alcoholPercentage"
1,"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,6,5,6,6,17,2,0.666666666666667,1.33333333333333,0.666666666666667
2,"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,4,5,5,6,16,2,0.666666666666667,1,0.666666666666667
3,"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"yes","no","yes","no","yes","yes","yes","no",4,3,2,2,3,3,10,7,8,10,25,5,0.666666666666667,0.666666666666667,1.66666666666667
4,"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,44,2,1.5,1,1
5,"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,2,5,4,6,10,10,26,3,0.666666666666667,0.666666666666667,1
6,"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,10,15,15,15,45,3,0.5,0.5,0.75
7,"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,12,12,11,35,2,0.5,1,0.5
8,"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,6,6,5,6,17,2,2,4,2
9,"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,16,18,19,53,2,1,1,1
10,"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,14,15,15,44,2,0.4,0.2,0.4
11,"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,1,2,2,0,10,8,9,27,3,0.666666666666667,1,1
12,"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,4,10,12,12,34,2,1.5,1,1
13,"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,2,14,14,14,42,4,0.333333333333333,1,1.33333333333333
14,"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",5,4,3,1,2,3,2,10,10,11,31,3,0.5,0.75,0.75
15,"GP","M",15,"U","GT3","A",2,2,"other","other","home","other",1,3,0,"no","yes","no","no","yes","yes","yes","yes",4,5,2,1,1,3,0,14,16,16,46,2,0.6,0.4,0.4
16,"GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,4,14,14,14,42,3,0.25,1,0.75
17,"GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","no",3,2,3,1,2,2,6,13,14,14,41,3,1.5,1.5,1.5
18,"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,4,8,10,10,28,2,0.666666666666667,0.666666666666667,0.666666666666667
